"Id","Year","Fiscal Year","DEPARTMENT","DIVISION","SECTION","FUND TYPE","FUND GROUP","FUND NAME","EXP/REV","OJBECT CLASS","ACCOUNT CATEGORY","ACCOUNT NAME","BUDGET AMOUNT"
"5142","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","City Property","Property Accounts","Computer Equipment","600000"
"5143","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Objects","Memberships Licenses and Dues","75"
"5144","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Objects","Memberships Licenses and Dues","75"
"5145","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Base Labor Increase","750"
"5146","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Worker's Compensation","8225"
"5147","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Worker's Compensation","7065"
"5148","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","State Unemployment Insurance","420"
"5149","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","State Unemployment Insurance","420"
"5150","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Medicare Insurance","3137"
"5151","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Medicare Insurance","2954"
"5152","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","FICA - OASDI","5060"
"5153","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","FICA - OASDI","4838"
"5154","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Clothing and Uniforms","1440"
"5155","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Clothing and Uniforms","1440"
"5156","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Safety Equipment Allowance","250"
"5157","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Safety Equipment Allowance","250"
"5158","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","City-Paid Employee PERS","1091"
"5159","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","City-Paid Employee PERS","1018"
"5160","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Management Leave Pay Off","2591"
"5161","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Management Leave Pay Off","2591"
"5162","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","PERS Retirement","58476"
"5163","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","PERS Retirement","50363"
"5164","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","EPERC","-3847"
"5165","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Scientific And Technical Supply","1650"
"5166","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Scientific And Technical Supply","1650"
"5167","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Office Supplies","5000"
"5168","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Office Supplies","5000"
"5169","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Printing And Binding","200"
"5170","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Printing And Binding","200"
"5171","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Communication Lines","62420"
"5172","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Communication Lines","62420"
"5173","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Cellular Telephone","83630"
"5174","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Cellular Telephone","83630"
"5175","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Telephone","41846"
"5176","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Telephone","41846"
"5177","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Rental Of Vehicles","1648"
"5178","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Rental Of Vehicles","413"
"5179","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Radio Equip M&R-Comm Division","58000"
"5180","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Radio Equip M&R-Comm Division","58000"
"5181","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Repair And Maintenance Service","20000"
"5182","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Repair And Maintenance Service","20000"
"5183","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Prof and Tech Svcs","Other Technical Services","3343423"
"5184","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Prof and Tech Svcs","Other Technical Services","3343423"
"5185","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund SerProvided","Central Services Mail Charges","30"
"5186","2015","FY2014/15","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund SerProvided","Central Services Mail Charges","30"
"5187","2016","FY2015/16","Fire","Admin. Services Division","Fire Communications Admin","General Fund","General Funds","General Fund","Expenses","City Property","Property Accounts","Computer Equipment","600000"
"5188","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Scientific And Technical Supply","12600"
"5189","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Scientific And Technical Supply","12600"
"5190","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Office Supplies","10000"
"5191","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Lodging","300"
"5192","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Lodging","300"
"5193","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Meals","150"
"5194","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Meals","150"
"5195","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Transportation","1900"
"5196","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Transportation","1900"
"5197","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Printing And Binding","1000"
"5198","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Printing And Binding","1000"
"5199","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Rental Of Equipment","1000"
"5200","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Rental Of Equipment","1000"
"5201","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Repair And Maintenance Services","3000"
"5202","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Repair And Maintenance Services","3000"
"5203","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Prof and Tech Svcs","Other Professional Services","10000"
"5204","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Prof and Tech Svcs","Other Professional Services","10000"
"5205","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Prof and Tech Svcs","Contracted Instructional Svcs","150"
"5206","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Prof and Tech Svcs","Contracted Instructional Svcs","150"
"5207","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","Measure U Labor Reimbursement","-168578"
"5208","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","Measure U Labor Reimbursement","72740"
"5209","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","Measure U Labor Reimbursement","-168578"
"5210","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund SerProvided","Central Services Mail Charges","200"
"5211","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund SerProvided","Central Services Mail Charges","200"
"5212","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","PERS Retirement","44240"
"5213","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Insurance Contribution","59669"
"5214","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Insurance Contribution","45336"
"5215","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Longevity","200"
"5216","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Longevity","200"
"5217","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","In Lieu Vacation","4815"
"5218","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","In Lieu Vacation","4815"
"5219","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Salaries","Regular Hours","340477"
"5220","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Salaries","Regular Hours","306817"
"5221","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Department Reclasses","-114517"
"5222","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Department Reclasses","-63301"
"5223","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Department Reclasses","-114517"
"5224","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Department Labor Reduction","75000"
"5225","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Department Labor Reduction","75000"
"5226","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Base Labor Increase","177818"
"5227","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Base Labor Increase","114517"
"5228","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Worker's Compensation","5739"
"5229","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Worker's Compensation","4620"
"5230","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","State Unemployment Insurance","1050"
"5231","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","State Unemployment Insurance","1050"
"5232","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Medicare Insurance","4937"
"5233","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Medicare Insurance","4449"
"5234","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","FICA - OASDI","21110"
"5235","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","FICA - OASDI","19023"
"5236","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Clothing and Uniforms","1500"
"5237","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Clothing and Uniforms","1500"
"5238","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Management Leave Pay Off","4815"
"5239","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Management Leave Pay Off","4815"
"5240","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Deferred Compensation No 1","11111"
"5241","2015","FY2014/15","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Deferred Compensation No 1","9833"
"5242","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","PERS Retirement","52879"
"5243","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","EPERC","-368"
"5244","2016","FY2015/16","Fire","Admin. Services Division","Human Resources - Fire","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Office Supplies","10000"
"5245","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Scientific And Technical Supply","5000"
"5246","2015","FY2014/15","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Scientific And Technical Supply","5000"
"5247","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Office Supplies","5000"
"5248","2015","FY2014/15","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Office Supplies","5000"
"5249","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Other Travel Expenses","4540"
"5250","2015","FY2014/15","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Other Travel Expenses","4540"
"5251","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Fees And Permits","2000"
"5252","2015","FY2014/15","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Fees And Permits","2000"
"5253","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Rental Of Land And Buildings","12000"
"5254","2015","FY2014/15","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Rental Of Land And Buildings","12000"
"5255","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Vehicle Repair and Maintenance","2751564"
"5256","2015","FY2014/15","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Vehicle Repair and Maintenance","2404191"
"5257","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Repair And Maintenance Service","53010"
"5258","2015","FY2014/15","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Repair And Maintenance Service","53010"
"5259","2015","FY2014/15","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","PERS Retirement","39429"
"5260","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Insurance Contribution","15240"
"5261","2015","FY2014/15","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Insurance Contribution","10877"
"5262","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Longevity","300"
"5263","2015","FY2014/15","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Longevity","300"
"5264","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Sick Leave Annual","834"
"5265","2015","FY2014/15","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Sick Leave Annual","834"
"5266","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","In Lieu Vacation","695"
"5267","2015","FY2014/15","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","In Lieu Vacation","695"
"5268","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Salaries","Regular Hours","175701"
"5269","2015","FY2014/15","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Salaries","Regular Hours","126707"
"5270","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","City Property","Property Accounts","Vehicle Replacement Charge","180078"
"5271","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Energy and Fuel","Fuel","856688"
"5272","2015","FY2014/15","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Energy and Fuel","Fuel","891514"
"5273","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Energy and Fuel","Utilities Exp","261507"
"5274","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Energy and Fuel","Utilities Exp","12300"
"5275","2015","FY2014/15","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Energy and Fuel","Utilities Exp","261507"
"5276","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Recreational Supplies","1000"
"5277","2015","FY2014/15","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Recreational Supplies","1000"
"5278","2015","FY2014/15","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Base Labor Increase","50381"
"5279","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Worker's Compensation","9664"
"5280","2015","FY2014/15","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Worker's Compensation","6335"
"5281","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","State Unemployment Insurance","210"
"5282","2015","FY2014/15","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","State Unemployment Insurance","210"
"5283","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Medicare Insurance","2548"
"5284","2015","FY2014/15","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Medicare Insurance","1837"
"5285","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Management Leave Pay Off","556"
"5286","2015","FY2014/15","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Management Leave Pay Off","556"
"5287","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Deferred Compensation No 1","7028"
"5288","2015","FY2014/15","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Deferred Compensation No 1","5068"
"5289","2016","FY2015/16","Fire","Admin. Services Division","Fire Infrastructure","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","PERS Retirement","59742"
"5290","2015","FY2014/15","Fire","Admin. Services Division","Fire Training","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Safety Equipment Allowance","500"
"5291","2016","FY2015/16","Fire","Admin. Services Division","Fire Training","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","City-Paid Employee PERS","3155"
"5292","2015","FY2014/15","Fire","Admin. Services Division","Fire Training","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","City-Paid Employee PERS","2985"
"5293","2016","FY2015/16","Fire","Admin. Services Division","Fire Training","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Management Leave Pay Off","5091"
"5294","2015","FY2014/15","Fire","Admin. Services Division","Fire Training","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Management Leave Pay Off","5091"
"5295","2016","FY2015/16","Fire","Admin. Services Division","Fire Training","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Deferred Compensation No 1","11155"
"5296","2015","FY2014/15","Fire","Admin. Services Division","Fire Training","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Deferred Compensation No 1","10976"
"5297","2016","FY2015/16","Fire","Admin. Services Division","Fire Training","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","PERS Retirement","220269"
"5298","2015","FY2014/15","Fire","Admin. Services Division","Fire Training","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","PERS Retirement","194052"
"5299","2016","FY2015/16","Fire","Admin. Services Division","Fire Training","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Insurance Contribution","97262"
"5300","2015","FY2014/15","Fire","Admin. Services Division","Fire Training","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Insurance Contribution","89518"
"5301","2016","FY2015/16","Fire","Admin. Services Division","Fire Training","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Longevity","700"
